,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Comments,Offensive?,Targeted?,Individual/Group/other?,Hatespeech?,Misinformation?
0,Breitbart News Network,"Watch: Donna Brazile, Matt Schlapp over Trump’s Attacks on Biden’s Faith",['2020/08/07'],11 comments,https://www.breitbart.com/clips/2020/08/07/watch-donna-brazile-matt-schlapp-over-trumps-attacks-on-bidens-faith/,✦ Björn Free ✦,More  Manufactured Obama/Brazile DNC bullkrap! ,,1,?,More  Manufactured Obama/Brazile DNC bullkrap! ,1,1,2,0,1
1,Breitbart News Network,Harry Reid on Trump’s Mental State: ‘There’s Something Wrong’ — He’s ‘Getti…,['2020/08/07'],35 comments,https://www.breitbart.com/clips/2020/08/07/harry-reid-on-trumps-mental-state-theres-something-wrong-hes-getting-worse/,✦ Björn Free ✦,"THE DNC is mentally, ethically, Spiritually, and Constitutionally DECLINING.........Joe Biden IS definitely YOUR GUY!!!",,3,?,"THE DNC is mentally, ethically, Spiritually, and Constitutionally DECLINING.........Joe Biden IS definitely YOUR GUY!!!",1,1,1 & 2,0,0
2,Breitbart News Network,Louie Gohmert: ‘Trump Derangement Syndrome’ Is Reason Leftist Big Tech Co…,['2020/08/07'],12 comments,https://www.breitbart.com/politics/2020/08/07/louie-gohmert-trump-derangement-syndrome-reason-leftist-big-tech-companies-censor-breitbart-news/,✦ Björn Free ✦,Gates in tandem with doctah Fauci ......are working on their BILLION-$ Kung-Flu Solution.,hey gee,0,0,Gates in tandem with doctah Fauci ......are working on their BILLION-$ Kung-Flu Solution.,1,1,1 & 2,1,1
3,Breitbart News Network,Louie Gohmert: ‘Trump Derangement Syndrome’ Is Reason Leftist Big Tech Co…,['2020/08/07'],12 comments,https://www.breitbart.com/politics/2020/08/07/louie-gohmert-trump-derangement-syndrome-reason-leftist-big-tech-companies-censor-breitbart-news/,✦ Björn Free ✦,"The POWAH of DEEP STATE & NWO is the Reason, Bunkies.",,7,?,"The POWAH of DEEP STATE & NWO is the Reason, Bunkies.",0,0,0,0,1
5,Breitbart News Network,Downward Trend in Daily Coronavirus Case Growth Continues,['2020/08/07'],95 comments,https://www.breitbart.com/politics/2020/08/07/downward-trend-daily-coronavirus-case-growth-continues/,✦ Björn Free ✦,UT-OH! This is not good for Fauci......he could lose millions on his conflict-of-interest vaccine collusion!,,10,?,UT-OH! This is not good for Fauci......he could lose millions on his conflict-of-interest vaccine collusion!,0,0,0,0,1
6,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,I pray and cite Genesis 12:3 often with specific citation.Great passage. Thank you for adding Numbers 24:9..I pray continually Psalm 122:6..Keep Looking UP!,ConLawyerII,3,?,I pray and cite Genesis 12:3 often with specific citation.Great passage. Thank you for adding Numbers 24:9..I pray continually Psalm 122:6..Keep Looking UP!,0,0,0,0,0
7,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,You as well. I so profoundly love Israel and Jews......my eyes are welling up in tears as I write you. I cannot discuss the topic without choking up and breaking down. It pierces my heart..My Messiah was a Jewish carpenter.,i__Cry,10,?,You as well. I so profoundly love Israel and Jews......my eyes are welling up in tears as I write you. I cannot discuss the topic without choking up and breaking down. It pierces my heart..My Messiah was a Jewish carpenter.,0,0,0,0,0
8,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,Thank you. It is easy to see how the Koine Greek would add more texture and less ambiguity to the reading of Scripture..Keep Looking UP!,i__Cry,7,?,Thank you. It is easy to see how the Koine Greek would add more texture and less ambiguity to the reading of Scripture..Keep Looking UP!,0,0,0,0,0
9,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,"That sounds more like it. It comports with my reading yesterday - in the Book of Ezra, where the Aramaic was translated into Cyrus' language..Thank you for the clarification! I couldn't believe I was that far off target.Remind me; Hebrew is all consonants? One of the things which fascinates me is that the Septuagint, with a fuller alphabet of vowels and consonants from which to transcribe, would naturally provide an expanded understanding of the texts, and it was transcribed by Jewish scribes which make it wonderful..What a blessing to understand Hebrew!",i__Cry,7,?,"That sounds more like it. It comports with my reading yesterday - in the Book of Ezra, where the Aramaic was translated into Cyrus' language..Thank you for the clarification! I couldn't believe I was that far off target.Remind me; Hebrew is all consonants? One of the things which fascinates me is that the Septuagint, with a fuller alphabet of vowels and consonants from which to transcribe, would naturally provide an expanded understanding of the texts, and it was transcribed by Jewish scribes which make it wonderful..What a blessing to understand Hebrew!",0,0,0,0,0
10,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,"As an Evangelical, I always thought that the  original Tanakh was in Hebrew and/or Aramaic. I did not know it was written in ""Babylonian."" .This wonderful scholar is as venerated by me as those who painstakingly transcribed the original manuscripts into Koine Greek and gave the world the Septuagint during the time of King Alexander the Great when Koine Greek ('gutter Greek') which was the international language of commerce at the time - as opposed to the Classic Greek..RIP.",,10,?,"As an Evangelical, I always thought that the  original Tanakh was in Hebrew and/or Aramaic. I did not know it was written in ""Babylonian."" .This wonderful scholar is as venerated by me as those who painstakingly transcribed the original manuscripts into Koine Greek and gave the world the Septuagint during the time of King Alexander the Great when Koine Greek ('gutter Greek') which was the international language of commerce at the time - as opposed to the Classic Greek..RIP.",0,0,0,0,0
11,Breitbart News Network,Pelosi: Trump Is ‘Projecting Himself’ When He Says Biden Is Against God — He Know…,['2020/08/07'],280 comments,https://www.breitbart.com/clips/2020/08/07/pelosi-trump-is-projecting-himself-when-he-says-biden-is-against-god-he-knows-nothing-about-church/,✦ Björn Free ✦,Bella Pelosi is the Queen of Amorality.,,6,?,Bella Pelosi is the Queen of Amorality.,1,1,1,0,0
12,Breitbart News Network,"Kudlow: We’re Drafting Executive Orders, Considering Reemployment Benefits",['2020/08/06'],249 comments,https://www.breitbart.com/clips/2020/08/06/kudlow-were-drafting-executive-orders-considering-reemployment-benefits/,✦ Björn Free ✦,If the schools are closed.....why are student loans needed?,,35,?,If the schools are closed.....why are student loans needed?,0,0,0,0,0
13,Breitbart News Network,Bette Midler: ‘Trump’s Thinking of Something Nuts’ and He May Tweet ‘A D*…,['2020/08/06'],359 comments,https://www.breitbart.com/entertainment/2020/08/06/bette-midler-trumps-thinking-of-something-nuts-and-he-may-tweet-a-dck-pic/,✦ Björn Free ✦,"....fat, dumb, and ugly. (Inside & outside) .....Enjoy your wealth, lovey.",,68,?,"....fat, dumb, and ugly. (Inside & outside) .....Enjoy your wealth, lovey.",1,1,1,0,0
14,Breitbart News Network,Michelle Obama: Coronavirus an Opportunity to Change ‘How Wealth Is D…,['2020/08/06'],6783 comments,https://www.breitbart.com/clips/2020/08/06/michelle-obama-coronavirus-opportunity-to-explore-how-wealth-is-distributed/,✦ Björn Free ✦,"Saul Alinsky's Rules for Radicals # 66.)  ""A good tactic is one that your people enjoy.""",,17,?,"Saul Alinsky's Rules for Radicals # 66.)  ""A good tactic is one that your people enjoy.""",0,0,0,0,0
15,Breitbart News Network,Graham: Sally Yates Testimony a ‘Bad Day for Jim Comey’ — ‘About as Radioactive…,['2020/08/06'],40 comments,https://www.breitbart.com/clips/2020/08/06/graham-sally-yates-testimony-a-bad-day-for-jim-comey-about-as-radioactive-as-you-can-get/,✦ Björn Free ✦,"Oh ya! Here comes Wet-Noodle Lindsey Grahamnasty. ....he's really mad this time, boy!",,10,?,"Oh ya! Here comes Wet-Noodle Lindsey Grahamnasty. ....he's really mad this time, boy!",1,1,1,0,0
16,Breitbart News Network,1 in 4 Vote-by-Mail Ballots Disqualified in New York City Democrat Primary,['2020/08/05'],805 comments,https://www.breitbart.com/politics/2020/08/05/1-in-4-vote-by-mail-ballots-disqualified-in-new-york-city-democrat-primary/,✦ Björn Free ✦,1 in 4 Democrat voters are DEAD.,,22,?,1 in 4 Democrat voters are DEAD.,1,1,2,0,1
17,Breitbart News Network,1 in 4 Vote-by-Mail Ballots Disqualified in New York City Democrat Primary,['2020/08/05'],805 comments,https://www.breitbart.com/politics/2020/08/05/1-in-4-vote-by-mail-ballots-disqualified-in-new-york-city-democrat-primary/,✦ Björn Free ✦,The only way the DNC can win general elections is by FRAUD!,,20,?,The only way the DNC can win general elections is by FRAUD!,1,1,2,0,1
18,Breitbart News Network,Biden Late-Life Crisis: Touts Electric Corvettes While Firing Up Classic Car En…,['2020/08/05'],1285 comments,https://www.breitbart.com/politics/2020/08/05/biden-late-life-crisis-touts-electric-corvettes-while-firing-up-classic-car-engine/,✦ Björn Free ✦,.......'hunter green' corvette. Gotta love the irony.,,202,?,.......'hunter green' corvette. Gotta love the irony.,0,0,0,0,0
19,Breitbart News Network,"Poll: Americans Distrust, Blame Biased Media for Political Division",['2020/08/05'],395 comments,https://www.breitbart.com/the-media/2020/08/05/poll-americans-distrust-blame-biased-media-for-political-division/,✦ Björn Free ✦," The Media, like Democrats, Antifa & BLM are from The Abyss!",,23,?," The Media, like Democrats, Antifa & BLM are from The Abyss!",1,1,2,0,1
20,Breitbart News Network,Gallup: Black Americans Support Police Presence in Communities,['2020/08/05'],670 comments,https://www.breitbart.com/politics/2020/08/05/gallup-black-americans-support-police-presence-communities/,✦ Björn Free ✦,Democrat-runned cities & States are a blight on America.,,11,1,Democrat-runned cities & States are a blight on America.,1,1,2,0,0
21,Breitbart News Network,Gallup: Black Americans Support Police Presence in Communities,['2020/08/05'],670 comments,https://www.breitbart.com/politics/2020/08/05/gallup-black-americans-support-police-presence-communities/,✦ Björn Free ✦,"SO! Why do 90% of BLACKS vote Democrat???_________________________________ edit. Gimmee. Gimmee. Gimmee!!!Take. Take. Take.If Blacks reined in their own community, much of their problem would dissipate.",,14,1,"SO! Why do 90% of BLACKS vote Democrat???_________________________________ edit. Gimmee. Gimmee. Gimmee!!!Take. Take. Take.If Blacks reined in their own community, much of their problem would dissipate.",1,1,2,1,0
23,Breitbart News Network,Donald Trump: Joe Biden Is Whatever Radical Left ‘Tell Him to Be’,['2020/08/05'],84 comments,https://www.breitbart.com/politics/2020/08/05/donald-trump-joe-biden-is-whatever-radical-left-tell-him-to-be/,✦ Björn Free ✦,Joe Biden defines BRAIN FREEZE!,,17,?,Joe Biden defines BRAIN FREEZE!,1,1,1,0,0
24,Breitbart News Network,Navy SEALs Cut Ties with Museum over Colin Kaepernick Video,['2020/08/04'],330 comments,https://www.breitbart.com/sports/2020/08/04/navy-seals-cut-ties-with-museum-over-colin-kaepernick-video/,✦ Björn Free ✦,....I don't think I want that commander of Navy Seals protecting me & my family...........WE do not share the same values.__________________________________________Gawd that was difficult to say!!!!,,23,?,....I don't think I want that commander of Navy Seals protecting me & my family...........WE do not share the same values.__________________________________________Gawd that was difficult to say!!!!,0,0,0,0,0
27,Breitbart News Network,Trump: I Want $600 Unemployment Benefits to Continue,['2020/08/04'],1687 comments,https://www.breitbart.com/clips/2020/08/04/trump-i-want-600-unemployment-benefits-to-continue/,✦ Björn Free ✦,"THIS CONSERVATIVE WANTS TO STOP the MONEY PRINTING PRESS!.....ride now, PAY LATER with inflation, Bunkies!",,21,1,"THIS CONSERVATIVE WANTS TO STOP the MONEY PRINTING PRESS!.....ride now, PAY LATER with inflation, Bunkies!",0,0,0,0,0
28,Breitbart News Network,Trump Campaign Encourages Supporters to Wear Masks: ‘We Have Nothing to Lose’,['2020/08/04'],4860 comments,https://www.breitbart.com/politics/2020/08/04/trump-campaign-encourages-supporters-to-wear-masks-we-have-nothing-to-lose/,✦ Björn Free ✦,1000000000000^ brother!Scientifically: Masks are like throwing RICE at a Tennis Net!,Solomon Says,13,1,1000000000000^ brother!Scientifically: Masks are like throwing RICE at a Tennis Net!,0,0,0,0,1
29,Breitbart News Network,Democrat Donor Ed Buck Charged with Four Additional Felonies,['2020/08/04'],737 comments,https://www.breitbart.com/politics/2020/08/04/democrat-donor-ed-buck-charged-with-four-additional-felonies/,✦ Björn Free ✦,No Harm. No Foul. He's a lofty Democrat. NEXT!,,24,?,No Harm. No Foul. He's a lofty Democrat. NEXT!,0,0,0,0,0
30,Breitbart News Network,"Trump: U.S. Will ‘Probably’ Have Between 4,000 and 5,000 Troops in Afghanistan b…",['2020/08/04'],17 comments,https://www.breitbart.com/clips/2020/08/04/trump-u-s-will-probably-have-between-4000-and-5000-troops-in-afghanistan-by-election-day/,✦ Björn Free ✦,.....I vote for zero-thousand troops.Napalm their poppy fields (the source of their funding),,17,?,.....I vote for zero-thousand troops.Napalm their poppy fields (the source of their funding),1,1,2,0,0
31,Breitbart News Network,Joe Biden Leaves the Basement for Delaware Beach House Getaway,['2020/08/04'],1155 comments,https://www.breitbart.com/politics/2020/08/04/joe-biden-leaves-the-basement-for-delaware-beach-house-getaway/,✦ Björn Free ✦,....if anyone in America needs to take some R & R time......(sarcasm),,20,?,....if anyone in America needs to take some R & R time......(sarcasm),0,0,0,0,0
32,Breitbart News Network,WATCH: Herschel Walker Blasts Pro Sports Leagues for Supporting BLM: Are These t…,['2020/08/03'],1619 comments,https://www.breitbart.com/sports/2020/08/03/watch-herschel-walker-blasts-pro-sports-leagues-for-supporting-blm-are-these-the-people-youre-supporting-now/,✦ Björn Free ✦,"....give me a reason to support the NBA, NFL, MLB, or ANY pro-athlete!America has succumbed to marginally talented quarterbacks .......with a chip on their shoulder....these athletes seem to be either tyrannies,..... anti-American Marxists, or,  pro-China,......ALL are living off the American Capitalist system that they eschew.",,25,?,"....give me a reason to support the NBA, NFL, MLB, or ANY pro-athlete!America has succumbed to marginally talented quarterbacks .......with a chip on their shoulder....these athletes seem to be either tyrannies,..... anti-American Marxists, or,  pro-China,......ALL are living off the American Capitalist system that they eschew.",0,0,0,0,0
33,Breitbart News Network,Washington Football Team DC Jack Del Rio: ‘Not Afraid to Say I Love My Country’,['2020/08/03'],733 comments,https://www.breitbart.com/sports/2020/08/03/washington-football-team-dc-jack-del-rio-not-afraid-to-say-i-love-my-country/,✦ Björn Free ✦,FOOT BALLS of STEEL!,,11,?,FOOT BALLS of STEEL!,0,0,0,0,0
34,Breitbart News Network,"Pence on Cuomo’s Criticisms: His ‘Poor Decisions’ Cost Lives, He’s Praised Trum…",['2020/08/03'],231 comments,https://www.breitbart.com/clips/2020/08/03/pence-on-cuomos-criticisms-his-poor-decisions-cost-lives-hes-praised-trump-in-the-past/,✦ Björn Free ✦,"WHERE are the limp-wristed GOP?.....much less the GOP namby-pamby, indecisive  ""Leaders"".",,37,?,"WHERE are the limp-wristed GOP?.....much less the GOP namby-pamby, indecisive  ""Leaders"".",1,1,2,0,0
35,Breitbart News Network,Charles Hurt: Nadler Calls Riots ‘Myth’ — Then Blames Them on Trump and Barr,['2020/08/03'],3426 comments,https://www.breitbart.com/politics/2020/08/03/charles-hurt-nadler-calls-riots-myth-blames-them-on-trump-barr/,✦ Björn Free ✦,Like the Democrat Myth attracted to the FLAMES.....FLAMES in Portland......FLAMES in Seattle.......FLAMES in Minneapolis........FLAMES in Washington D.C.......,,10,?,Like the Democrat Myth attracted to the FLAMES.....FLAMES in Portland......FLAMES in Seattle.......FLAMES in Minneapolis........FLAMES in Washington D.C.......,0,0,0,0,0
36,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,....thank you friend. Same.,J.Moore citizenfreepress.com,7,1,....thank you friend. Same.,0,0,0,0,0
37,Breitbart News Network,Massachusetts Court Bans Term ‘Grandfathering’ Due to Racist Past,['2020/08/03'],448 comments,https://www.breitbart.com/politics/2020/08/03/massachusetts-court-bans-term-grandfathering-due-to-racist-past/,✦ Björn Free ✦,ROMNEY's Massachusetts also gave America Obomey-Care,,8,?,ROMNEY's Massachusetts also gave America Obomey-Care,0,0,0,0,0
38,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,"Yes, but you are vivacious and full of vigor, my friend.......they once said full of vinegar.",Jason Evans,7,1,"Yes, but you are vivacious and full of vigor, my friend.......they once said full of vinegar.",0,0,0,0,0
39,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,I resemble that! ~ Laurel & Hardy 1928 (my parent's time),Jason Evans,9,1,I resemble that! ~ Laurel & Hardy 1928 (my parent's time),0,0,0,0,0
40,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,NO!,J.Moore citizenfreepress.com,7,1,NO!,0,0,0,0,0
41,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,My mistake and I DO humbly apologize.,Jason Evans,9,1,My mistake and I DO humbly apologize.,0,0,0,0,0
42,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,I voted you and your TAG-TEAM friend down because you bump your own comment. THEN others must do the same to keep the queue FAIR to me and others..I don't watch TV.,Jason Evans,9,3,I voted you and your TAG-TEAM friend down because you bump your own comment. THEN others must do the same to keep the queue FAIR to me and others..I don't watch TV.,0,0,0,0,0
43,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,~Joe Biden Keeps Moving SOUTH through his basement floor slats.....,,10,2,~Joe Biden Keeps Moving SOUTH through his basement floor slats.....,0,0,0,0,0
47,Breitbart News Network,NBC’s Todd: Trump’s ‘Un-American’ Election Delay Suggestion Exposes His ‘D…,['2020/08/02'],942 comments,https://www.breitbart.com/clips/2020/08/02/nbcs-todd-trumps-un-american-election-delay-suggestion-exposes-his-desperation/,✦ Björn Free ✦,NO ONE DELAYED THE 2020 ELECTION.....fool.President Donald J. Trump played you as artfully as a Stradivarius!.edit: In a fair election Donald J. Magnimous Wins in a LANDSLIDE!,,17,?,NO ONE DELAYED THE 2020 ELECTION.....fool.President Donald J. Trump played you as artfully as a Stradivarius!.edit: In a fair election Donald J. Magnimous Wins in a LANDSLIDE!,0,0,0,0,0
49,Breitbart News Network,Exclusive – Election Interference: McCarthy Warns Google Using ‘Tremendous Amou…,['2020/08/02'],1729 comments,https://www.breitbart.com/politics/2020/08/02/exclusive-election-interference-mccarthy-warns-google-using-tremendous-amount-of-power-to-influence-what-people-think-or-see/,✦ Björn Free ✦,SO PROVE to us that you ain't Paul RYNO II !!!,,9,?,SO PROVE to us that you ain't Paul RYNO II !!!,0,0,0,0,0
50,Breitbart News Network,Metta World Peace Says ‘Ain’t No Way’ He would Kneel During National Anthem,['2020/08/02'],84 comments,https://www.breitbart.com/sports/2020/08/02/metta-world-peace-says-aint-no-way-he-would-kneel-during-national-anthem/,✦ Björn Free ✦,"""Former NBA great, Metta World Peace""???WHO? With a name like that, I think I would have remembered him.",hey gee,5,?,"""Former NBA great, Metta World Peace""???WHO? With a name like that, I think I would have remembered him.",0,0,0,0,0
54,Breitbart News Network,Firm Owned by Joe Biden’s Son-in-Law Benefited from Upwards of $350K in PPP…,['2020/08/01'],529 comments,https://www.breitbart.com/2020-election/2020/08/01/bidens-son-in-law-benefited-upwards-350k-in-ppp-loans/,✦ Björn Free ✦,....who would have GUESSED?.Life is full of crazy surprises.,,15,?,....who would have GUESSED?.Life is full of crazy surprises.,0,0,0,0,0
55,Breitbart News Network,Firm Owned by Joe Biden’s Son-in-Law Benefited from Upwards of $350K in PPP…,['2020/08/01'],529 comments,https://www.breitbart.com/2020-election/2020/08/01/bidens-son-in-law-benefited-upwards-350k-in-ppp-loans/,✦ Björn Free ✦,Imagine Dat!....WHO gnu?,,73,?,Imagine Dat!....WHO gnu?,0,0,0,0,0
56,The Gateway Pundit,$100 Fine: Gatherings of More Than Three People on Sidewalks Banned in DC Subu…,['2020/08/10'],200 comments,https://www.thegatewaypundit.com/2020/08/100-fine-gatherings-three-people-sidewalks-banned-dc-suburb-arlington-county-va-coronavirus-concerns/,✦ Björn Free ✦,"RIOTERS, LOOTERS, THUGS & BLACK MARXIST FUNERAL-GOERS...........get a free-pass.",,20,?,"RIOTERS, LOOTERS, THUGS & BLACK MARXIST FUNERAL-GOERS...........get a free-pass.",0,0,0,0,0
57,Breitbart News Network,Border Patrol Chief: Agents in Portland Faced ‘Direct and Immediate Threat of B…,['2020/08/01'],974 comments,https://www.breitbart.com/clips/2020/08/01/border-patrol-chief-agents-in-portland-faced-direct-and-immediate-threat-of-being-burnt-alive-for-two-months/,✦ Björn Free ✦,"Leslie Nielsen: ""Nothing to See Here!""~The Naked Gun! 1988",,18,?,"Leslie Nielsen: ""Nothing to See Here!""~The Naked Gun! 1988",0,0,0,0,0
58,Breitbart News Network,Poll: 9 of 10 Americans Wearing Masks in Public,['2020/08/01'],4048 comments,https://www.breitbart.com/health/2020/08/01/poll-9-10-americans-wearing-masks-public/,✦ Björn Free ✦,....it reminds us who OWNS us & CONTROLS us! :(,,11,?,....it reminds us who OWNS us & CONTROLS us! :(,0,0,0,0,0
59,Breitbart News Network,"Atlanta Reverend Inserts John Lewis in Isaiah 53: ‘By His Stripes, We Are Healed’",['2020/07/31'],98 comments,https://www.breitbart.com/faith/2020/07/31/atlanta-reverend-inserts-john-lewis-in-isaiah-53-by-his-stripes-we-are-healed/,✦ Björn Free ✦,"Psalm 14:1  The fool says in his heart,""there is no God.""",Ann Nonomust,10,?,"Psalm 14:1  The fool says in his heart,""there is no God.""",0,0,0,0,0
