,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Comments,Offensive?,Targeted?,Individual/Group/other?,Hatespeech?,Misinformation?
60,Breitbart News Network,"Atlanta Reverend Inserts John Lewis in Isaiah 53: ‘By His Stripes, We Are Healed’",['2020/07/31'],98 comments,https://www.breitbart.com/faith/2020/07/31/atlanta-reverend-inserts-john-lewis-in-isaiah-53-by-his-stripes-we-are-healed/,✦ Björn Free ✦,"....may the LORD of the Bible deal with you, sir.",,30,?,"....may the LORD of the Bible deal with you, sir.",0,0,0,0,0
61,Breitbart News Network,"Breitbart News Appeals Twitter Account Suspension, ‘Review’ Drags Out Beyond…",['2020/07/30'],2962 comments,https://www.breitbart.com/tech/2020/07/30/breitbart-news-appeals-twitter-account-suspension-review-drags-out-beyond-48-hours/,✦ Björn Free ✦,FIND ANOTHER OUTLET!!!!...Invent your own venue.....don't be a prisoner!,,19,2,FIND ANOTHER OUTLET!!!!...Invent your own venue.....don't be a prisoner!,0,0,0,0,0
62,Breitbart News Network,Montana Sheriff: Steve Bullock with ‘Liberal Mob’ on Defunding Police,['2020/07/30'],255 comments,https://www.breitbart.com/politics/2020/07/30/montana-sheriff-steve-bullock-liberal-mob-defunding-police/,✦ Björn Free ✦,WHY? Do Democrats Want to Abolish LEO's? (Law Enforcement Officers).....because Democrats are defiant and they defy the LAW!,,16,?,WHY? Do Democrats Want to Abolish LEO's? (Law Enforcement Officers).....because Democrats are defiant and they defy the LAW!,0,0,0,0,1
63,Breitbart News Network,Hollywood Hammers Trump for Floating Delaying the Election: ‘Dictators Do This’,['2020/07/30'],1088 comments,https://www.breitbart.com/entertainment/2020/07/30/hollywood-hammers-trump-for-floating-delaying-the-election-dictators-do-this/,✦ Björn Free ✦,TRUMP PLAYS HOLLYWOOD!,,20,?,TRUMP PLAYS HOLLYWOOD!,0,0,0,0,0
65,Breitbart News Network,Change Research Poll: Trump Narrows the Gap in Battleground States,['2020/07/29'],869 comments,https://www.breitbart.com/2020-election/2020/07/29/change-research-poll-trump-narrows-gap-battleground-states/,✦ Björn Free ✦,2016 Poll:  Trump Loses in a Landslide to Hillary!!!,,19,?,2016 Poll:  Trump Loses in a Landslide to Hillary!!!,0,0,0,0,0
66,Breitbart News Network,California Sues Trump to Inflate Its Power in Congress via Illegal Migration,['2020/07/29'],808 comments,https://www.breitbart.com/politics/2020/07/29/california-sues-trump-to-inflate-its-power-in-congress-via-illegal-migration/,✦ Björn Free ✦,"DEMOCRATS only WIN when they cheat, .......& subvert the LAW.............or, circumvent the U.S. Constitution.",,24,?,"DEMOCRATS only WIN when they cheat, .......& subvert the LAW.............or, circumvent the U.S. Constitution.",1,1,2,0,1
67,Breitbart News Network,"Trump’s DACA Extension Buys Time for Him, Immigration Reformers Say",['2020/07/29'],13 comments,https://www.breitbart.com/politics/2020/07/29/trumps-daca-extension-buys-time-for-him-immigration-reformers-say/,✦ Björn Free ✦,"DACA is CACA.Words once meant things..ILLEGAL once meant illegal..As recently as 2016 MAGA meant .....""Make America Great Again!",,22,?,"DACA is CACA.Words once meant things..ILLEGAL once meant illegal..As recently as 2016 MAGA meant .....""Make America Great Again!",0,0,0,0,0
68,Breitbart News Network,"Trump: Fox News ‘Not Even Watchable,’ Unrecognizable from 4 Years Ago",['2020/07/29'],2488 comments,https://www.breitbart.com/politics/2020/07/29/trump-fox-news-not-even-watchable-unrecognizable-from-4-years-ago/,✦ Björn Free ✦,FOX has become a pox on Conservativism.Hannity is SO tedious and repetitious. Ingraham (whom I met) is nasty.gawd help us.,,16,2,FOX has become a pox on Conservativism.Hannity is SO tedious and repetitious. Ingraham (whom I met) is nasty.gawd help us.,1,1,2,0,0
69,Breitbart News Network,Watch: House Minority Leader McCarthy Accidentally Calls Rep. Gohmert ‘Congre…,['2020/07/29'],318 comments,https://www.breitbart.com/clips/2020/07/29/watch-house-minority-leader-mccarthy-accidentally-calls-rep-gohmert-congressman-covid/,✦ Björn Free ✦,"McCarthy is another ambitious calculating RINO......he's too oily, slithering & slick to make mistakes.",,67,?,"McCarthy is another ambitious calculating RINO......he's too oily, slithering & slick to make mistakes.",1,1,1,0,0
70,Breitbart News Network,Matt Gaetz: Google Using ‘Market Dominance’ in Search to Engage in ‘Elect…,['2020/07/29'],3133 comments,https://www.breitbart.com/politics/2020/07/29/matt-gaetz-google-using-market-dominance-in-search-to-engage-in-election-interference/,✦ Björn Free ✦,BUST GOOGLE!dammit!,,22,?,BUST GOOGLE!dammit!,0,0,0,0,0
71,Breitbart News Network,Jim Jordan Cites Censorship of Breitbart News as One Reason Big Tech ‘Is Out to G…,['2020/07/29'],763 comments,https://www.breitbart.com/politics/2020/07/29/jim-jordan-big-tech-is-out-to-get-conservatives/,✦ Björn Free ✦,HEY! BREITBART!.I must bump my own posts (at first) to get a fair shake on your roster's queue.. Kettle calling the Pot BLACK??,,12,1,HEY! BREITBART!.I must bump my own posts (at first) to get a fair shake on your roster's queue.. Kettle calling the Pot BLACK??,0,0,0,0,0
73,Breitbart News Network,Michigan Bed and Breakfast Removes Norwegian Flag After Confusion with Co…,['2020/07/29'],63 comments,https://www.breitbart.com/politics/2020/07/29/michigan-bed-and-breakfast-removes-norwegian-flag-after-confusion-with-confederate-flag/,✦ Björn Free ✦,America is ceding our LIBERTY to the ANGRY & Ignorant LEFT!.GOP Congress.......crickets!,,22,?,America is ceding our LIBERTY to the ANGRY & Ignorant LEFT!.GOP Congress.......crickets!,1,1,2,0,0
74,Breitbart News Network,"Tim Cook Claims Apple Treats ‘Every Developer the Same,’ but Has Banned Co…",['2020/07/29'],399 comments,https://www.breitbart.com/tech/2020/07/29/tim-cook-claims-apple-treats-every-developer-the-same-but-has-banned-conservative-apps/,✦ Björn Free ✦,"Apple's Tim Cook:.....Great Analogy to The Original Tech Sin!. ""Don't bite the Apple""",,11,?,"Apple's Tim Cook:.....Great Analogy to The Original Tech Sin!. ""Don't bite the Apple""",0,0,0,0,0
75,Breitbart News Network,Dr. Kelli Ward: ‘Sickening’ that Big Tech Is Trying to ‘Tip the Scales of the 2020 Elec…,['2020/07/29'],35 comments,https://www.breitbart.com/politics/2020/07/29/dr-kelli-ward-it-is-sickening-that-big-tech-is-partnering-democrats-tip-scales-2020-election/,✦ Björn Free ✦,The Left are a Medusa's Head of catatonic hatred.,,20,?,The Left are a Medusa's Head of catatonic hatred.,1,1,2,0,0
76,Breitbart News Network,Tisha B’Av: Jewish Holiday Mourns National Destruction,['2020/07/29'],9 comments,https://www.breitbart.com/faith/2020/07/29/tisha-bav-jewish-holiday-mourns-national-destruction/,✦ Björn Free ✦,Genesis 12:3amen.,,7,?,Genesis 12:3amen.,0,0,0,0,0
77,Breitbart News Network,Dr. Simone Gold: Squarespace Shuts Down America’s Frontline Doctors Website,['2020/07/28'],3396 comments,https://www.breitbart.com/tech/2020/07/28/dr-simone-gold-squarespace-shuts-down-americas-frontline-doctors-website/,✦ Björn Free ✦,"My SIL sent me MAGA hats in 2016 from Amazon.com....my Amazon rating had been between 1200 & 3000 for TEN YEARS!.I began bleeding rating points after receipt of Trump gear from Amazon..Today, my Amazon reviewer rating is more than TWO MILLION!",RightLane1111,6,?,"My SIL sent me MAGA hats in 2016 from Amazon.com....my Amazon rating had been between 1200 & 3000 for TEN YEARS!.I began bleeding rating points after receipt of Trump gear from Amazon..Today, my Amazon reviewer rating is more than TWO MILLION!",0,0,0,0,0
78,Breitbart News Network,NFL to Display Social Justice Messages in End Zones,['2020/07/28'],291 comments,https://www.breitbart.com/sports/2020/07/28/nfl-to-display-social-justice-messages-in-end-zones/,✦ Björn Free ✦,~WHAT in the WORLD would the NFL do without racist White quarterbacks???,,17,?,~WHAT in the WORLD would the NFL do without racist White quarterbacks???,1,1,2,0,0
79,Breitbart News Network,GOP Rejects Rubio’s Stimulus Checks for Americans Married to Illegal Aliens,['2020/07/28'],272 comments,https://www.breitbart.com/politics/2020/07/28/gop-rejects-rubios-stimulus-checks-for-americans-married-to-illegal-aliens/,✦ Björn Free ✦,Rubio! You have small anti-Trump hands.,,11,?,Rubio! You have small anti-Trump hands.,1,1,1,0,0
80,Breitbart News Network,Barr Tells Florida Democrat He Won’t Commit to Delaying Release of Durham…,['2020/07/28'],301 comments,https://www.breitbart.com/politics/2020/07/28/barr-tells-florida-democrat-he-wont-commit-to-delaying-release-of-durham-russia-report-until-after-election/,✦ Björn Free ✦,Durham Schmuran. ALL Kabuki Smoke. NO ACTION.....Lucy and the smokin' football..All Political Theatre..50-years of this kabuki bull krap!,,16,?,Durham Schmuran. ALL Kabuki Smoke. NO ACTION.....Lucy and the smokin' football..All Political Theatre..50-years of this kabuki bull krap!,1,1,1,0,0
81,Breitbart News Network,Rubio: Passing COVID-19 Relief ‘Not Going to Be Easy’ — ‘But We’ll Get There’,['2020/07/28'],13 comments,https://www.breitbart.com/clips/2020/07/28/rubio-passing-covid-19-relief-not-going-to-be-easy-but-well-get-there/,✦ Björn Free ✦,"Senator Rubio: Respectfully, Go Sit & Spin on Your 'Small' Loser RINO Thumbs!",,9,?,"Senator Rubio: Respectfully, Go Sit & Spin on Your 'Small' Loser RINO Thumbs!",1,1,1,0,0
82,Breitbart News Network,"MSNBC’s Katyal: Barr Was Partisan, Evasive, Selective — ‘Really Sad Day for t…",['2020/07/28'],46 comments,https://www.breitbart.com/clips/2020/07/28/msnbcs-katyal-barr-was-partisan-evasive-selective-really-sad-day-for-the-justice-department/,✦ Björn Free ✦,Apparently the LEFT do not own a Full Length Mirror.Marxist Dialectical Materialism as perfected by Alynsky:.~ Accuse your enemy of YOUR tactic against them!,,7,?,Apparently the LEFT do not own a Full Length Mirror.Marxist Dialectical Materialism as perfected by Alynsky:.~ Accuse your enemy of YOUR tactic against them!,1,1,1,0,0
83,Breitbart News Network,Jerry Nadler’s Mask Meltdown: ‘Stop Violating the Safety of the Members of th…,['2020/07/28'],1190 comments,https://www.breitbart.com/clips/2020/07/28/jerry-nadlers-mask-meltdown-stop-violating-the-safety-of-the-members-of-the-committee/,✦ Björn Free ✦,Nadler needs a muzzle not a mask. MSM are his true mask.,,11,?,Nadler needs a muzzle not a mask. MSM are his true mask.,1,1,1,0,0
85,Breitbart News Network,Sports Illustrated Features ‘Curviest Model Ever’ in 2020 Swimsuit Issue,['2020/07/27'],5584 comments,https://www.breitbart.com/sports/2020/07/27/sports-illustrated-features-curviest-model-ever-in-2020-swimsuit-issue/,✦ Björn Free ✦,~ Her biceps are the size of my thighs!,Spurius Hostilius Bibulus,7,?,~ Her biceps are the size of my thighs!,0,0,0,0,0
86,Breitbart News Network,Widow of Slain Massachusetts Officer Calls Police Reform Bill a ‘Personal Attack’,['2020/07/27'],41 comments,https://www.breitbart.com/crime/2020/07/27/widow-of-slain-massachusetts-officer-calls-police-reform-bill-a-personal-attack/,✦ Björn Free ✦,LEO's and Law Enforcement are vilified..................BECAUSE the GOP-establishment (Deep-State).................SIT on their FAT THUMBS & SPIN!,,13,?,LEO's and Law Enforcement are vilified..................BECAUSE the GOP-establishment (Deep-State).................SIT on their FAT THUMBS & SPIN!,1,1,2,0,0
87,Breitbart News Network,Illegal Aliens Sue Trump to Restart Obama’s DACA Program,['2020/07/27'],158 comments,https://www.breitbart.com/politics/2020/07/27/illegal-aliens-sue-trump-to-restart-obamas-daca-program/,✦ Björn Free ✦,ILLEGALS suing The American President!?.....isn't that precious?,,72,?,ILLEGALS suing The American President!?.....isn't that precious?,1,1,2,0,0
88,Breitbart News Network,"Joe Biden: Women ‘Have Never Had a Fair Shot to Get Ahead,’ Especially Minorities",['2020/07/27'],3604 comments,https://www.breitbart.com/2020-election/2020/07/27/joe-biden-women-have-never-had-a-fair-shot-to-get-ahead-especially-minorities/,✦ Björn Free ✦,......says America's #ONE  Woman's Hair SNIFFER!,,17,?,......says America's #ONE  Woman's Hair SNIFFER!,1,1,1,0,0
89,Breitbart News Network,Watch–Emergency Room Doctor: ‘We Are Not Overwhelming the Health Care Syst…,['2020/07/27'],810 comments,https://www.breitbart.com/politics/2020/07/27/watch-emergency-room-doctor-we-are-not-overwhelming-the-health-care-system/,✦ Björn Free ✦,"Fauci politically screwed-up America's AIDS response....Dr. Fauci  is being aided and abetted to do the same POLITICAL response with.........the CHINESE virus..President Donald Trump, respectfully....FIRE your DEEP STATE!",,24,?,"Fauci politically screwed-up America's AIDS response....Dr. Fauci  is being aided and abetted to do the same POLITICAL response with.........the CHINESE virus..President Donald Trump, respectfully....FIRE your DEEP STATE!",1,1,1,0,1
90,Breitbart News Network,At Least Three Florida Democrat Party Staffers Criticized Police in Recent Months,['2020/07/26'],85 comments,https://www.breitbart.com/politics/2020/07/26/three-florida-democrat-party-staffers-criticized-police-recent-months/,✦ Björn Free ✦,~ Florida Democrats hate Accountability!,,13,?,~ Florida Democrats hate Accountability!,1,1,2,0,0
91,Breitbart News Network,"Louie Gohmert: In a War for America’s Future, ‘You Got to Fight Back’",['2020/07/26'],929 comments,https://www.breitbart.com/radio/2020/07/26/louie-gohmert-war-americas-future-you-got-fight-back/,✦ Björn Free ✦,WHERE'S the FRICKING Executive ORDERS? .....to protect Trump voters! .We cannot even wear a MAGA hat without being killed.dammit,,156,4,WHERE'S the FRICKING Executive ORDERS? .....to protect Trump voters! .We cannot even wear a MAGA hat without being killed.dammit,0,0,0,0,0
93,Breitbart News Network,Obama HUD Sec. Shaun Donovan Defends Obama Housing Rules to Diversify Suburbs,['2020/07/26'],873 comments,https://www.breitbart.com/politics/2020/07/26/obama-hud-sec-shaun-donovan-defends-obama-housing-rules-diversify-suburbs/,✦ Björn Free ✦,"What ""Systemic Racism""?OBAMA Hated America & Blacks!.edit: Shaun Donovan was appointed by Barack HUSSAIN Obama.....also Bill Clinton and Michael Bloomberg. (do the math!)",,15,?,"What ""Systemic Racism""?OBAMA Hated America & Blacks!.edit: Shaun Donovan was appointed by Barack HUSSAIN Obama.....also Bill Clinton and Michael Bloomberg. (do the math!)",1,1,1,1,1
97,Breitbart News Network,WATCH – WWII Vet Dying of Cancer Greets People with American Flag Every Day: ‘T…,['2020/07/25'],1879 comments,https://www.breitbart.com/health/2020/07/25/watch-wwii-vet-dying-of-cancer-greets-people-with-american-flag-every-day-this-is-what-i-fought-for/,✦ Björn Free ✦,.........and having to wear the DEMOCRAT FEAR Mask!.GOD love you dear patriot!,,25,?,.........and having to wear the DEMOCRAT FEAR Mask!.GOD love you dear patriot!,0,0,0,0,0
99,Breitbart News Network,Brooks: ‘This Is Not the Time’ for Fiscal Discipline,['2020/07/25'],117 comments,https://www.breitbart.com/clips/2020/07/25/brooks-this-is-not-the-time-for-fiscal-discipline/,✦ Björn Free ✦,as Democrats lay on the Congress floor KICKING & protesting.,,7,?,as Democrats lay on the Congress floor KICKING & protesting.,1,1,2,0,0
102,Breitbart News Network,Kanye West: ‘I Can Beat Biden Off Of Write-Ins’,['2020/07/25'],607 comments,https://www.breitbart.com/entertainment/2020/07/25/kanye-west-i-can-beat-biden-off-of-write-ins/,✦ Björn Free ✦,LOONEY Kanye is 'saner' than Joe Biden.,,14,1,LOONEY Kanye is 'saner' than Joe Biden.,1,1,1,0,0
103,Breitbart News Network,Kanye West: ‘I Can Beat Biden Off Of Write-Ins’,['2020/07/25'],607 comments,https://www.breitbart.com/entertainment/2020/07/25/kanye-west-i-can-beat-biden-off-of-write-ins/,✦ Björn Free ✦,MONEY BUYS DEMOCRAT VOTES.........especially against a primary candidate who has dementia.,,10,?,MONEY BUYS DEMOCRAT VOTES.........especially against a primary candidate who has dementia.,1,1,1,0,1
104,Breitbart News Network,Federal Officers in Portland May Have Permanent Eye Damage After Protesters…,['2020/07/25'],872 comments,https://www.breitbart.com/politics/2020/07/25/federal-officers-in-portland-may-have-permanent-eye-damage-after-protesters-shine-lasers-in-their-faces/,✦ Björn Free ✦,PRESIDENT DONALD TRUMP..............~America NEEDS your 'EXECUTIVE PEN' {& your FONE} here!.....your voters fear simply answering pollsters.......... and/or wearing a damned MAGA hat for gawd's sake!!!.Stop this lawless intimidation of your supporters!!!,,13,?,PRESIDENT DONALD TRUMP..............~America NEEDS your 'EXECUTIVE PEN' {& your FONE} here!.....your voters fear simply answering pollsters.......... and/or wearing a damned MAGA hat for gawd's sake!!!.Stop this lawless intimidation of your supporters!!!,0,0,0,0,0
105,Breitbart News Network,California Churches Defy Gavin Newsom’s Lockdown Order: Christ Is Head of the C…,['2020/07/25'],1143 comments,https://www.breitbart.com/politics/2020/07/25/california-churches-defy-gov-newsoms-lockdown-order-christ-head-church/,✦ Björn Free ✦,I love expository based on sound hermeneutics..Onward Christian soldiers.To GOD be the Glory!,,20,?,I love expository based on sound hermeneutics..Onward Christian soldiers.To GOD be the Glory!,0,0,0,0,0
106,Breitbart News Network,FNC’s Carlson: ‘The Mobs Will Not Stop with Christopher Columbus’ — How…,['2020/07/24'],1792 comments,https://www.breitbart.com/clips/2020/07/24/fncs-carlson-the-mobs-will-not-stop-with-christopher-columbus-how-long-before-they-tear-down-buildings-homes-human-beings/,✦ Björn Free ✦,TWO STEPS FORWARD.........where the heck is OUR side?,,20,?,TWO STEPS FORWARD.........where the heck is OUR side?,0,0,0,0,0
107,Breitbart News Network,Cuomo: Nursing Home Policy Criticism Is ‘All Politics’,['2020/07/24'],2206 comments,https://www.breitbart.com/clips/2020/07/24/cuomo-nursing-home-policy-criticism-is-all-politics/,✦ Björn Free ✦,YOU SLIME BALL!...tell that to the thousands of families who lost their beloved family member.......because of YOUR malfeasance.,,21,?,YOU SLIME BALL!...tell that to the thousands of families who lost their beloved family member.......because of YOUR malfeasance.,1,1,1,0,0
108,Breitbart News Network,ACLU Sues to Get Illegal Aliens Counted in Congressional Apportionment,['2020/07/24'],2207 comments,https://www.breitbart.com/politics/2020/07/24/aclu-sues-illegal-aliens-counted-congressional-apportionment/,✦ Björn Free ✦,.....ILLEGAL is non-existent in the ACLU's vocabulary.,,10,?,.....ILLEGAL is non-existent in the ACLU's vocabulary.,1,1,2,0,0
109,Breitbart News Network,Ilhan Omar: ‘Offensive’ Yoho ‘Used His Wife and Daughters’ in His Apology,['2020/07/24'],1864 comments,https://www.breitbart.com/clips/2020/07/24/ilhan-omar-offensive-yoho-used-his-wife-and-daughters-in-his-apology/,✦ Björn Free ✦,.....says the paragon of virtue who married her own brother.........just to evade and vex the American immigration law.,,19,?,.....says the paragon of virtue who married her own brother.........just to evade and vex the American immigration law.,1,1,1,0,1
110,Breitbart News Network,Covington Teen Nicholas Sandmann Settles $250M Defamation Lawsuit with…,['2020/07/24'],990 comments,https://www.breitbart.com/politics/2020/07/24/covington-teen-sandmann-settles-lawsuit-washington-post/,✦ Björn Free ✦,.............the LAST LAUGH!!!!,,13,?,.............the LAST LAUGH!!!!,0,0,0,0,0
111,Breitbart News Network,Catholic Hospital Hit with Transgender Discrimination Lawsuit,['2020/07/24'],470 comments,https://www.breitbart.com/politics/2020/07/24/catholic-hospital-hit-transgender-discrimination-lawsuit/,✦ Björn Free ✦," It SHOULD be a simple .....SCIENTIFIC XY sex gene (chromosome) determination system!_____________________________________edit: Ya either have a Y-chromosome - or, ya don't.",,22,?," It SHOULD be a simple .....SCIENTIFIC XY sex gene (chromosome) determination system!_____________________________________edit: Ya either have a Y-chromosome - or, ya don't.",0,0,0,0,0
112,Breitbart News Network,"Trump: No ‘Big, Crowded’ Republican National Convention in Jacksonville This…",['2020/07/23'],4253 comments,https://www.breitbart.com/politics/2020/07/23/trump-no-big-crowded-republican-national-convention-this-year/,✦ Björn Free ✦,LOL!,hey gee,17,1,LOL!,0,0,0,0,0
115,Breitbart News Network,Indiana Sheriff’s Office Will Not Enforce Governor’s Mask Order: We Will Enforce t…,['2020/07/23'],111 comments,https://www.breitbart.com/politics/2020/07/23/indiana-sheriffs-office-will-not-enforce-governors-mask-order-we-will-enforce-the-law-as-guided-by-the-constitution/,✦ Björn Free ✦,~Halleluiahs!.These masks play right into the DNC/MSM code of FEAR!,,16,?,~Halleluiahs!.These masks play right into the DNC/MSM code of FEAR!,1,1,2,0,0
116,Breitbart News Network,"Durham, NC’s ‘Racial Equity Task Force’ Urges Creation of Reparations Fund",['2020/07/23'],251 comments,https://www.breitbart.com/politics/2020/07/23/durham-ncs-racial-equity-task-force-urges-creation-of-reparations-fund/,✦ Björn Free ✦,"The LEFT: Ten Steps Forward.The GOP: ""Well Okay, as long as you like me!""",,15,?,"The LEFT: Ten Steps Forward.The GOP: ""Well Okay, as long as you like me!""",0,0,0,0,0
117,Breitbart News Network,"‘Divisive, Short-Fingered Vulgarian’: Never Trumpers Comprise Tennessee’s Manny…",['2020/07/22'],414 comments,https://www.breitbart.com/politics/2020/07/22/divisive-short-fingered-vulgarian-never-trumpers-comprise-tennessees-manny-sethi-entire-senior-campaign-staff/,✦ Björn Free ✦,"....sorry bud, I am an Evangelical with a profound LOVE of Israel and Jews! My Messiah was a Jewish Carpenter..Go peddle your anti-Semitic hatred some place else.",benitoX,16,?,"....sorry bud, I am an Evangelical with a profound LOVE of Israel and Jews! My Messiah was a Jewish Carpenter..Go peddle your anti-Semitic hatred some place else.",1,1,1,0,0
118,Breitbart News Network,Merkley: Trump Has Now Brought ‘Secret Police’ Authoritarian Tactics to the Stree…,['2020/07/22'],39 comments,https://www.breitbart.com/clips/2020/07/22/merkley-trump-has-now-brought-secret-police-authoritarian-tactics-to-the-streets-of-our-country/,✦ Björn Free ✦,OMG!!! The anarchists have been torching American cities for 40-plus days........and some semblance to return to law & order is rebuffed as 'authoritarian tactic'?.good gawd!,,29,?,OMG!!! The anarchists have been torching American cities for 40-plus days........and some semblance to return to law & order is rebuffed as 'authoritarian tactic'?.good gawd!,1,1,2,0,0
119,Breitbart News Network,"MLB Allows Black Lives Matter, Social Justice Jersey Patches",['2020/07/22'],1669 comments,https://www.breitbart.com/sports/2020/07/22/mlb-allows-black-lives-matter-social-justice-jersey-patches/,✦ Björn Free ✦,Next the MLB will be doing free-commercial spots for neutering your pets!,,12,?,Next the MLB will be doing free-commercial spots for neutering your pets!,1,1,2,0,0
120,Breitbart News Network,Poll: Joe Biden Leads Donald Trump by Four Points in Ohio,['2020/07/22'],375 comments,https://www.breitbart.com/politics/2020/07/22/poll-joe-biden-leads-donald-trump-by-four-points-in-ohio/,✦ Björn Free ✦,"2016 POLL: ""~ Hillary Clinton lead's Donald Trump... .....in a LANDSLIDE VICTORY!""",,13,?,"2016 POLL: ""~ Hillary Clinton lead's Donald Trump... .....in a LANDSLIDE VICTORY!""",0,0,0,0,0
121,Breitbart News Network,"‘Divisive, Short-Fingered Vulgarian’: Never Trumpers Comprise Tennessee’s Manny…",['2020/07/22'],414 comments,https://www.breitbart.com/politics/2020/07/22/divisive-short-fingered-vulgarian-never-trumpers-comprise-tennessees-manny-sethi-entire-senior-campaign-staff/,✦ Björn Free ✦,NO!...there were other alternatives before Rubio won the primary!,Keep Truckin',13,?,NO!...there were other alternatives before Rubio won the primary!,0,0,0,0,0
122,Breitbart News Network,"‘Divisive, Short-Fingered Vulgarian’: Never Trumpers Comprise Tennessee’s Manny…",['2020/07/22'],414 comments,https://www.breitbart.com/politics/2020/07/22/divisive-short-fingered-vulgarian-never-trumpers-comprise-tennessees-manny-sethi-entire-senior-campaign-staff/,✦ Björn Free ✦,".....ARE YOU LISTENING, MARK LEVIN????......YOU GAVE us MARCO RUBIO..DO your due diligences before impulsively endorsing an UNKNOWN!I was ready to endorse this clown (just like I did with {your} Marco Rubio) .....based solely on my respect for YOU and your radio endorsement!!!.Yah, you're right; you stepped in it. ""Get this guy off your fone, - you dummy!""",,15,?,".....ARE YOU LISTENING, MARK LEVIN????......YOU GAVE us MARCO RUBIO..DO your due diligences before impulsively endorsing an UNKNOWN!I was ready to endorse this clown (just like I did with {your} Marco Rubio) .....based solely on my respect for YOU and your radio endorsement!!!.Yah, you're right; you stepped in it. ""Get this guy off your fone, - you dummy!""",1,1,1,0,0